data,rodada,mandante,visitante,gols_mandante,gols_visitante,competicao
2015-05-24,3,Chapecoense,Santos,1,0,Brasileirao Serie A 2015
2015-05-24,3,Cruzeiro,Ponte Preta,1,1,Brasileirao Serie A 2015
2015-05-24,3,Fluminense,Corinthians,0,0,Brasileirao Serie A 2015
2015-05-24,3,Palmeiras,Goias,0,1,Brasileirao Serie A 2015
2015-05-24,3,Sport,Coritiba,1,0,Brasileirao Serie A 2015
2015-05-30,4,Coritiba,Avai,1,2,Brasileirao Serie A 2015
2015-05-30,4,Joinville,Athletico-PR,1,2,Brasileirao Serie A 2015
2015-05-30,4,Ponte Preta,Chapecoense,3,1,Brasileirao Serie A 2015
2015-05-31,4,Atletico-MG,Vasco,3,0,Brasileirao Serie A 2015
2015-05-31,4,Corinthians,Palmeiras,0,2,Brasileirao Serie A 2015
2015-05-31,4,Figueirense,Cruzeiro,2,1,Brasileirao Serie A 2015
2015-05-31,4,Flamengo,Fluminense,2,3,Brasileirao Serie A 2015
2015-05-31,4,Goias,Gremio,1,1,Brasileirao Serie A 2015
2015-05-31,4,Internacional,Sao Paulo,0,0,Brasileirao Serie A 2015
2015-05-31,4,Santos,Sport,2,2,Brasileirao Serie A 2015
2015-06-03,5,Athletico-PR,Figueirense,1,0,Brasileirao Serie A 2015
2015-06-03,5,Avai,Atletico-MG,1,4,Brasileirao Serie A 2015
2015-06-03,5,Chapecoense,Joinville,2,0,Brasileirao Serie A 2015
2015-06-03,5,Cruzeiro,Flamengo,1,0,Brasileirao Serie A 2015
2015-06-03,5,Gremio,Corinthians,3,1,Brasileirao Serie A 2015
2015-06-03,5,Sao Paulo,Santos,3,2,Brasileirao Serie A 2015
2015-06-03,5,Vasco,Ponte Preta,0,3,Brasileirao Serie A 2015
2015-06-04,5,Fluminense,Coritiba,2,0,Brasileirao Serie A 2015
2015-06-04,5,Palmeiras,Internacional,1,1,Brasileirao Serie A 2015
2015-06-04,5,Sport,Goias,1,0,Brasileirao Serie A 2015
2015-06-06,6,Athletico-PR,Vasco,2,0,Brasileirao Serie A 2015
2015-06-06,6,Atletico-MG,Cruzeiro,1,3,Brasileirao Serie A 2015
2015-06-06,6,Flamengo,Chapecoense,1,0,Brasileirao Serie A 2015
2015-06-06,6,Joinville,Corinthians,0,1,Brasileirao Serie A 2015
2015-06-06,6,Santos,Ponte Preta,2,2,Brasileirao Serie A 2015
2015-06-06,6,Sao Paulo,Gremio,2,0,Brasileirao Serie A 2015
2015-06-07,6,Figueirense,Palmeiras,2,1,Brasileirao Serie A 2015
2015-06-07,6,Fluminense,Sport,0,0,Brasileirao Serie A 2015
2015-06-07,6,Goias,Avai,0,1,Brasileirao Serie A 2015
2015-06-07,6,Internacional,Coritiba,2,0,Brasileirao Serie A 2015
2015-06-10,7,Atletico-MG,Santos,2,2,Brasileirao Serie A 2015
2015-06-13,7,Chapecoense,Sao Paulo,0,1,Brasileirao Serie A 2015
2015-06-13,7,Corinthians,Internacional,2,1,Brasileirao Serie A 2015
2015-06-13,7,Coritiba,Flamengo,0,1,Brasileirao Serie A 2015
2015-06-13,7,Sport,Joinville,2,1,Brasileirao Serie A 2015
2015-06-13,7,Vasco,Cruzeiro,1,3,Brasileirao Serie A 2015
2015-06-14,7,Avai,Figueirense,1,1,Brasileirao Serie A 2015
2015-06-14,7,Gremio,Athletico-PR,2,1,Brasileirao Serie A 2015
2015-06-14,7,Palmeiras,Fluminense,2,1,Brasileirao Serie A 2015
2015-06-14,7,Ponte Preta,Goias,0,0,Brasileirao Serie A 2015
2015-06-18,8,Figueirense,Internacional,0,0,Brasileirao Serie A 2015
2015-06-20,8,Flamengo,Atletico-MG,0,2,Brasileirao Serie A 2015
2015-06-20,8,Gremio,Palmeiras,1,0,Brasileirao Serie A 2015
2015-06-20,8,Santos,Corinthians,1,0,Brasileirao Serie A 2015
2015-06-20,8,Sport,Vasco,2,1,Brasileirao Serie A 2015
2015-06-21,8,Athletico-PR,Coritiba,2,2,Brasileirao Serie A 2015
2015-06-21,8,Cruzeiro,Chapecoense,0,1,Brasileirao Serie A 2015
2015-06-21,8,Joinville,Goias,2,1,Brasileirao Serie A 2015
2015-06-21,8,Sao Paulo,Avai,1,1,Brasileirao Serie A 2015
2015-06-24,8,Fluminense,Ponte Preta,2,0,Brasileirao Serie A 2015
2015-06-27,9,Avai,Gremio,1,2,Brasileirao Serie A 2015
2015-06-27,9,Chapecoense,Sport,1,1,Brasileirao Serie A 2015
2015-06-27,9,Corinthians,Figueirense,2,1,Brasileirao Serie A 2015
2015-06-28,9,Atletico-MG,Joinville,1,0,Brasileirao Serie A 2015
2015-06-28,9,Coritiba,Cruzeiro,1,0,Brasileirao Serie A 2015
2015-06-28,9,Goias,Fluminense,1,2,Brasileirao Serie A 2015
2015-06-28,9,Internacional,Santos,1,0,Brasileirao Serie A 2015
2015-06-28,9,Palmeiras,Sao Paulo,4,0,Brasileirao Serie A 2015
2015-06-28,9,Ponte Preta,Athletico-PR,2,1,Brasileirao Serie A 2015
2015-06-28,9,Vasco,Flamengo,1,0,Brasileirao Serie A 2015
2015-07-01,10,Athletico-PR,Sao Paulo,2,1,Brasileirao Serie A 2015
2015-07-01,10,Atletico-MG,Coritiba,2,0,Brasileirao Serie A 2015
2015-07-01,10,Gremio,Cruzeiro,1,0,Brasileirao Serie A 2015
2015-07-01,10,Joinville,Flamengo,0,1,Brasileirao Serie A 2015
2015-07-01,10,Palmeiras,Chapecoense,2,0,Brasileirao Serie A 2015
2015-07-01,10,Sport,Internacional,3,0,Brasileirao Serie A 2015
2015-07-01,10,Vasco,Avai,1,0,Brasileirao Serie A 2015
2015-07-02,10,Corinthians,Ponte Preta,2,0,Brasileirao Serie A 2015
2015-07-02,10,Figueirense,Goias,3,1,Brasileirao Serie A 2015
2015-07-02,10,Fluminense,Santos,2,1,Brasileirao Serie A 2015
2015-07-04,11,Chapecoense,Vasco,1,0,Brasileirao Serie A 2015
2015-07-04,11,Coritiba,Joinville,0,0,Brasileirao Serie A 2015
2015-07-04,11,Cruzeiro,Athletico-PR,2,0,Brasileirao Serie A 2015
2015-07-05,11,Avai,Sport,2,2,Brasileirao Serie A 2015
2015-07-05,11,Flamengo,Figueirense,1,2,Brasileirao Serie A 2015
2015-07-05,11,Goias,Corinthians,0,0,Brasileirao Serie A 2015
2015-07-05,11,Internacional,Atletico-MG,1,3,Brasileirao Serie A 2015
2015-07-05,11,Ponte Preta,Palmeiras,0,2,Brasileirao Serie A 2015
2015-07-05,11,Santos,Gremio,1,3,Brasileirao Serie A 2015
2015-07-05,11,Sao Paulo,Fluminense,0,0,Brasileirao Serie A 2015
2015-07-08,12,Atletico-MG,Sport,2,1,Brasileirao Serie A 2015
2015-07-08,12,Chapecoense,Gremio,1,0,Brasileirao Serie A 2015
2015-07-08,12,Coritiba,Ponte Preta,0,0,Brasileirao Serie A 2015
2015-07-08,12,Figueirense,Joinville,0,2,Brasileirao Serie A 2015
2015-07-08,12,Goias,Santos,4,1,Brasileirao Serie A 2015
2015-07-08,12,Internacional,Flamengo,1,2,Brasileirao Serie A 2015
2015-07-08,12,Palmeiras,Avai,3,0,Brasileirao Serie A 2015
2015-07-08,12,Vasco,Sao Paulo,0,4,Brasileirao Serie A 2015
2015-07-09,12,Corinthians,Athletico-PR,2,0,Brasileirao Serie A 2015
2015-07-09,12,Fluminense,Cruzeiro,1,0,Brasileirao Serie A 2015
2015-07-11,13,Gremio,Vasco,2,0,Brasileirao Serie A 2015
2015-07-11,13,Ponte Preta,Atletico-MG,0,2,Brasileirao Serie A 2015
2015-07-11,13,Santos,Figueirense,3,0,Brasileirao Serie A 2015
2015-07-12,13,Athletico-PR,Fluminense,1,2,Brasileirao Serie A 2015
2015-07-12,13,Avai,Chapecoense,2,1,Brasileirao Serie A 2015
2015-07-12,13,Cruzeiro,Goias,1,0,Brasileirao Serie A 2015
2015-07-12,13,Flamengo,Corinthians,0,3,Brasileirao Serie A 2015
2015-07-12,13,Joinville,Internacional,0,2,Brasileirao Serie A 2015
2015-07-12,13,Sao Paulo,Coritiba,3,1,Brasileirao Serie A 2015
2015-07-12,13,Sport,Palmeiras,2,2,Brasileirao Serie A 2015
2015-07-18,14,Corinthians,Atletico-MG,1,0,Brasileirao Serie A 2015
2015-07-18,14,Flamengo,Gremio,1,0,Brasileirao Serie A 2015
2015-07-18,14,Internacional,Goias,2,1,Brasileirao Serie A 2015
2015-07-19,14,Athletico-PR,Chapecoense,1,0,Brasileirao Serie A 2015
2015-07-19,14,Cruzeiro,Avai,1,1,Brasileirao Serie A 2015
2015-07-19,14,Figueirense,Coritiba,0,0,Brasileirao Serie A 2015
2015-07-19,14,Fluminense,Vasco,1,2,Brasileirao Serie A 2015
2015-07-19,14,Joinville,Ponte Preta,1,1,Brasileirao Serie A 2015
2015-07-19,14,Palmeiras,Santos,1,0,Brasileirao Serie A 2015
2015-07-19,14,Sport,Sao Paulo,2,0,Brasileirao Serie A 2015
2015-07-25,15,Atletico-MG,Figueirense,1,0,Brasileirao Serie A 2015
2015-07-25,15,Avai,Athletico-PR,1,2,Brasileirao Serie A 2015
2015-07-25,15,Gremio,Sport,1,1,Brasileirao Serie A 2015
2015-07-26,15,Chapecoense,Fluminense,2,1,Brasileirao Serie A 2015
2015-07-26,15,Coritiba,Corinthians,1,1,Brasileirao Serie A 2015
2015-07-26,15,Goias,Flamengo,0,1,Brasileirao Serie A 2015
2015-07-26,15,Ponte Preta,Internacional,0,0,Brasileirao Serie A 2015
2015-07-26,15,Santos,Joinville,2,0,Brasileirao Serie A 2015
2015-07-26,15,Sao Paulo,Cruzeiro,1,0,Brasileirao Serie A 2015
2015-07-26,15,Vasco,Palmeiras,1,4,Brasileirao Serie A 2015
2015-07-29,16,Atletico-MG,Sao Paulo,3,1,Brasileirao Serie A 2015
2015-07-29,16,Corinthians,Vasco,3,0,Brasileirao Serie A 2015
2015-08-01,16,Fluminense,Gremio,1,0,Brasileirao Serie A 2015
2015-08-02,16,Coritiba,Goias,1,1,Brasileirao Serie A 2015
2015-08-02,16,Figueirense,Ponte Preta,3,1,Brasileirao Serie A 2015
2015-08-02,16,Flamengo,Santos,2,2,Brasileirao Serie A 2015
2015-08-02,16,Internacional,Chapecoense,0,0,Brasileirao Serie A 2015
2015-08-02,16,Joinville,Avai,2,0,Brasileirao Serie A 2015
2015-08-02,16,Palmeiras,Athletico-PR,0,1,Brasileirao Serie A 2015
2015-08-02,16,Sport,Cruzeiro,0,0,Brasileirao Serie A 2015
2015-08-08,17,Avai,Fluminense,1,0,Brasileirao Serie A 2015
2015-08-08,17,Santos,Coritiba,3,0,Brasileirao Serie A 2015
2015-08-09,17,Athletico-PR,Sport,1,1,Brasileirao Serie A 2015
2015-08-09,17,Chapecoense,Figueirense,2,2,Brasileirao Serie A 2015
2015-08-09,17,Cruzeiro,Palmeiras,2,1,Brasileirao Serie A 2015
2015-08-09,17,Goias,Atletico-MG,0,0,Brasileirao Serie A 2015
2015-08-09,17,Gremio,Internacional,5,0,Brasileirao Serie A 2015
2015-08-09,17,Ponte Preta,Flamengo,1,0,Brasileirao Serie A 2015
2015-08-09,17,Sao Paulo,Corinthians,1,1,Brasileirao Serie A 2015
2015-08-09,17,Vasco,Joinville,0,0,Brasileirao Serie A 2015
2015-08-12,18,Corinthians,Sport,4,3,Brasileirao Serie A 2015
2015-08-12,18,Coritiba,Palmeiras,2,1,Brasileirao Serie A 2015
2015-08-12,18,Figueirense,Sao Paulo,0,2,Brasileirao Serie A 2015
2015-08-12,18,Flamengo,Athletico-PR,3,2,Brasileirao Serie A 2015
2015-08-12,18,Goias,Chapecoense,0,0,Brasileirao Serie A 2015
2015-08-12,18,Internacional,Fluminense,1,0,Brasileirao Serie A 2015
2015-08-12,18,Santos,Vasco,1,0,Brasileirao Serie A 2015
2015-08-13,18,Atletico-MG,Gremio,0,2,Brasileirao Serie A 2015
2015-08-13,18,Joinville,Cruzeiro,3,0,Brasileirao Serie A 2015
2015-08-13,18,Ponte Preta,Avai,2,0,Brasileirao Serie A 2015
2015-08-15,19,Athletico-PR,Santos,0,0,Brasileirao Serie A 2015
2015-08-15,19,Sao Paulo,Goias,0,3,Brasileirao Serie A 2015
2015-08-15,19,Vasco,Coritiba,0,1,Brasileirao Serie A 2015
2015-08-16,19,Avai,Corinthians,1,2,Brasileirao Serie A 2015
2015-08-16,19,Chapecoense,Atletico-MG,2,1,Brasileirao Serie A 2015
2015-08-16,19,Cruzeiro,Internacional,0,0,Brasileirao Serie A 2015
2015-08-16,19,Fluminense,Figueirense,2,1,Brasileirao Serie A 2015
2015-08-16,19,Gremio,Joinville,2,1,Brasileirao Serie A 2015
2015-08-16,19,Palmeiras,Flamengo,4,2,Brasileirao Serie A 2015
2015-08-16,19,Sport,Ponte Preta,1,1,Brasileirao Serie A 2015
2015-08-22,20,Figueirense,Sport,2,1,Brasileirao Serie A 2015
2015-08-22,20,Goias,Vasco,3,0,Brasileirao Serie A 2015
2015-08-22,20,Santos,Avai,5,2,Brasileirao Serie A 2015
2015-08-23,20,Atletico-MG,Palmeiras,2,1,Brasileirao Serie A 2015
2015-08-23,20,Corinthians,Cruzeiro,3,0,Brasileirao Serie A 2015
2015-08-23,20,Coritiba,Chapecoense,1,0,Brasileirao Serie A 2015
2015-08-23,20,Flamengo,Sao Paulo,2,1,Brasileirao Serie A 2015
2015-08-23,20,Internacional,Athletico-PR,2,0,Brasileirao Serie A 2015
2015-08-23,20,Joinville,Fluminense,2,1,Brasileirao Serie A 2015
2015-08-23,20,Ponte Preta,Gremio,0,0,Brasileirao Serie A 2015
2015-08-29,21,Sao Paulo,Ponte Preta,3,0,Brasileirao Serie A 2015
2015-08-29,21,Vasco,Figueirense,0,1,Brasileirao Serie A 2015
2015-08-30,21,Athletico-PR,Goias,3,0,Brasileirao Serie A 2015
2015-08-30,21,Avai,Internacional,3,0,Brasileirao Serie A 2015
2015-08-30,21,Chapecoense,Corinthians,1,3,Brasileirao Serie A 2015
2015-08-30,21,Cruzeiro,Santos,0,1,Brasileirao Serie A 2015
2015-08-30,21,Fluminense,Atletico-MG,1,2,Brasileirao Serie A 2015
2015-08-30,21,Gremio,Coritiba,0,0,Brasileirao Serie A 2015
2015-08-30,21,Palmeiras,Joinville,3,2,Brasileirao Serie A 2015
2015-08-30,21,Sport,Flamengo,0,1,Brasileirao Serie A 2015
2015-09-02,22,Atletico-MG,Athletico-PR,0,1,Brasileirao Serie A 2015
2015-09-02,22,Corinthians,Fluminense,2,0,Brasileirao Serie A 2015
2015-09-02,22,Coritiba,Sport,0,0,Brasileirao Serie A 2015
2015-09-02,22,Flamengo,Avai,3,0,Brasileirao Serie A 2015
2015-09-02,22,Goias,Palmeiras,1,0,Brasileirao Serie A 2015
2015-09-02,22,Internacional,Vasco,6,0,Brasileirao Serie A 2015
2015-09-02,22,Joinville,Sao Paulo,0,0,Brasileirao Serie A 2015
2015-09-02,22,Ponte Preta,Cruzeiro,1,2,Brasileirao Serie A 2015
2015-09-03,22,Figueirense,Gremio,0,2,Brasileirao Serie A 2015
2015-09-03,22,Santos,Chapecoense,3,1,Brasileirao Serie A 2015
2015-09-05,23,Athletico-PR,Joinville,0,0,Brasileirao Serie A 2015
2015-09-05,23,Sao Paulo,Internacional,2,0,Brasileirao Serie A 2015
2015-09-05,23,Vasco,Atletico-MG,1,2,Brasileirao Serie A 2015
2015-09-06,23,Avai,Coritiba,0,2,Brasileirao Serie A 2015
2015-09-06,23,Chapecoense,Ponte Preta,0,0,Brasileirao Serie A 2015
2015-09-06,23,Cruzeiro,Figueirense,5,1,Brasileirao Serie A 2015
2015-09-06,23,Fluminense,Flamengo,1,3,Brasileirao Serie A 2015
2015-09-06,23,Gremio,Goias,2,1,Brasileirao Serie A 2015
2015-09-06,23,Palmeiras,Corinthians,3,3,Brasileirao Serie A 2015
2015-09-06,23,Sport,Santos,1,1,Brasileirao Serie A 2015
2015-09-09,24,Atletico-MG,Avai,2,0,Brasileirao Serie A 2015
2015-09-09,24,Corinthians,Gremio,1,1,Brasileirao Serie A 2015
2015-09-09,24,Coritiba,Fluminense,1,1,Brasileirao Serie A 2015
2015-09-09,24,Figueirense,Athletico-PR,1,1,Brasileirao Serie A 2015
2015-09-09,24,Internacional,Palmeiras,1,0,Brasileirao Serie A 2015
2015-09-09,24,Ponte Preta,Vasco,0,1,Brasileirao Serie A 2015
2015-09-09,24,Santos,Sao Paulo,3,0,Brasileirao Serie A 2015
2015-09-10,24,Flamengo,Cruzeiro,2,0,Brasileirao Serie A 2015
2015-09-10,24,Goias,Sport,1,0,Brasileirao Serie A 2015
2015-09-10,24,Joinville,Chapecoense,0,0,Brasileirao Serie A 2015
2015-09-12,25,Coritiba,Internacional,0,1,Brasileirao Serie A 2015
2015-09-12,25,Palmeiras,Figueirense,2,0,Brasileirao Serie A 2015
2015-09-13,25,Avai,Goias,2,1,Brasileirao Serie A 2015
2015-09-13,25,Chapecoense,Flamengo,1,3,Brasileirao Serie A 2015
2015-09-13,25,Corinthians,Joinville,3,0,Brasileirao Serie A 2015
2015-09-13,25,Cruzeiro,Atletico-MG,1,1,Brasileirao Serie A 2015
2015-09-13,25,Gremio,Sao Paulo,1,2,Brasileirao Serie A 2015
2015-09-13,25,Ponte Preta,Santos,3,1,Brasileirao Serie A 2015
2015-09-13,25,Sport,Fluminense,1,0,Brasileirao Serie A 2015
2015-09-13,25,Vasco,Athletico-PR,2,0,Brasileirao Serie A 2015
2015-09-16,26,Athletico-PR,Gremio,1,2,Brasileirao Serie A 2015
2015-09-16,26,Cruzeiro,Vasco,2,2,Brasileirao Serie A 2015
2015-09-16,26,Figueirense,Avai,0,1,Brasileirao Serie A 2015
2015-09-16,26,Fluminense,Palmeiras,1,4,Brasileirao Serie A 2015
2015-09-16,26,Goias,Ponte Preta,1,2,Brasileirao Serie A 2015
2015-09-16,26,Internacional,Corinthians,2,1,Brasileirao Serie A 2015
2015-09-16,26,Joinville,Sport,1,1,Brasileirao Serie A 2015
2015-09-16,26,Santos,Atletico-MG,4,0,Brasileirao Serie A 2015
2015-09-17,26,Flamengo,Coritiba,0,2,Brasileirao Serie A 2015
2015-09-17,26,Sao Paulo,Chapecoense,0,0,Brasileirao Serie A 2015
2015-09-19,27,Internacional,Figueirense,1,1,Brasileirao Serie A 2015
2015-09-19,27,Palmeiras,Gremio,3,2,Brasileirao Serie A 2015
2015-09-19,27,Ponte Preta,Fluminense,3,1,Brasileirao Serie A 2015
2015-09-20,27,Atletico-MG,Flamengo,4,1,Brasileirao Serie A 2015
2015-09-20,27,Avai,Sao Paulo,2,1,Brasileirao Serie A 2015
2015-09-20,27,Chapecoense,Cruzeiro,0,2,Brasileirao Serie A 2015
2015-09-20,27,Corinthians,Santos,2,0,Brasileirao Serie A 2015
2015-09-20,27,Coritiba,Athletico-PR,2,0,Brasileirao Serie A 2015
2015-09-20,27,Goias,Joinville,3,0,Brasileirao Serie A 2015
2015-09-20,27,Vasco,Sport,2,1,Brasileirao Serie A 2015
2015-09-26,28,Fluminense,Goias,2,0,Brasileirao Serie A 2015
2015-09-26,28,Gremio,Avai,3,1,Brasileirao Serie A 2015
2015-09-27,28,Athletico-PR,Ponte Preta,1,2,Brasileirao Serie A 2015
2015-09-27,28,Cruzeiro,Coritiba,2,0,Brasileirao Serie A 2015
2015-09-27,28,Figueirense,Corinthians,1,3,Brasileirao Serie A 2015
2015-09-27,28,Flamengo,Vasco,1,2,Brasileirao Serie A 2015
2015-09-27,28,Joinville,Atletico-MG,2,2,Brasileirao Serie A 2015
2015-09-27,28,Santos,Internacional,3,1,Brasileirao Serie A 2015
2015-09-27,28,Sao Paulo,Palmeiras,1,1,Brasileirao Serie A 2015
2015-09-27,28,Sport,Chapecoense,3,0,Brasileirao Serie A 2015
2015-10-03,29,Coritiba,Atletico-MG,0,3,Brasileirao Serie A 2015
2015-10-03,29,Internacional,Sport,2,1,Brasileirao Serie A 2015
2015-10-03,29,Sao Paulo,Athletico-PR,1,0,Brasileirao Serie A 2015
2015-10-04,29,Avai,Vasco,1,1,Brasileirao Serie A 2015
2015-10-04,29,Chapecoense,Palmeiras,5,1,Brasileirao Serie A 2015
2015-10-04,29,Cruzeiro,Gremio,0,0,Brasileirao Serie A 2015
2015-10-04,29,Flamengo,Joinville,2,0,Brasileirao Serie A 2015
2015-10-04,29,Goias,Figueirense,2,3,Brasileirao Serie A 2015
2015-10-04,29,Ponte Preta,Corinthians,2,2,Brasileirao Serie A 2015
2015-10-04,29,Santos,Fluminense,3,1,Brasileirao Serie A 2015
2015-10-14,30,Athletico-PR,Cruzeiro,2,2,Brasileirao Serie A 2015
2015-10-14,30,Atletico-MG,Internacional,2,1,Brasileirao Serie A 2015
2015-10-14,30,Figueirense,Flamengo,3,0,Brasileirao Serie A 2015
2015-10-14,30,Fluminense,Sao Paulo,2,0,Brasileirao Serie A 2015
2015-10-14,30,Joinville,Coritiba,3,1,Brasileirao Serie A 2015
2015-10-14,30,Palmeiras,Ponte Preta,0,1,Brasileirao Serie A 2015
2015-10-14,30,Sport,Avai,3,0,Brasileirao Serie A 2015
2015-10-15,30,Corinthians,Goias,3,0,Brasileirao Serie A 2015
2015-10-15,30,Gremio,Santos,1,0,Brasileirao Serie A 2015
2015-10-15,30,Vasco,Chapecoense,1,1,Brasileirao Serie A 2015
2015-10-17,31,Avai,Palmeiras,1,3,Brasileirao Serie A 2015
2015-10-17,31,Joinville,Figueirense,1,0,Brasileirao Serie A 2015
2015-10-18,31,Athletico-PR,Corinthians,1,4,Brasileirao Serie A 2015
2015-10-18,31,Cruzeiro,Fluminense,2,0,Brasileirao Serie A 2015
2015-10-18,31,Flamengo,Internacional,0,1,Brasileirao Serie A 2015
2015-10-18,31,Gremio,Chapecoense,2,3,Brasileirao Serie A 2015
2015-10-18,31,Ponte Preta,Coritiba,3,0,Brasileirao Serie A 2015
2015-10-18,31,Santos,Goias,3,1,Brasileirao Serie A 2015
2015-10-18,31,Sao Paulo,Vasco,2,2,Brasileirao Serie A 2015
2015-10-18,31,Sport,Atletico-MG,4,1,Brasileirao Serie A 2015
2015-10-24,32,Figueirense,Santos,0,0,Brasileirao Serie A 2015
2015-10-24,32,Fluminense,Athletico-PR,0,1,Brasileirao Serie A 2015
2015-10-24,32,Internacional,Joinville,1,0,Brasileirao Serie A 2015
2015-10-24,32,Palmeiras,Sport,0,2,Brasileirao Serie A 2015
2015-10-25,32,Atletico-MG,Ponte Preta,2,1,Brasileirao Serie A 2015
2015-10-25,32,Chapecoense,Avai,0,0,Brasileirao Serie A 2015
2015-10-25,32,Corinthians,Flamengo,1,0,Brasileirao Serie A 2015
2015-10-25,32,Coritiba,Sao Paulo,1,2,Brasileirao Serie A 2015
2015-10-25,32,Goias,Cruzeiro,0,1,Brasileirao Serie A 2015
2015-10-25,32,Vasco,Gremio,0,0,Brasileirao Serie A 2015
2015-10-31,33,Avai,Cruzeiro,1,1,Brasileirao Serie A 2015
2015-10-31,33,Coritiba,Figueirense,1,1,Brasileirao Serie A 2015
2015-10-31,33,Ponte Preta,Joinville,1,0,Brasileirao Serie A 2015
2015-10-31,33,Sao Paulo,Sport,3,0,Brasileirao Serie A 2015
2015-11-01,33,Atletico-MG,Corinthians,0,3,Brasileirao Serie A 2015
2015-11-01,33,Chapecoense,Athletico-PR,0,0,Brasileirao Serie A 2015
2015-11-01,33,Goias,Internacional,2,1,Brasileirao Serie A 2015
2015-11-01,33,Gremio,Flamengo,2,0,Brasileirao Serie A 2015
2015-11-01,33,Santos,Palmeiras,2,1,Brasileirao Serie A 2015
2015-11-01,33,Vasco,Fluminense,0,1,Brasileirao Serie A 2015
2015-11-07,34,Athletico-PR,Avai,2,1,Brasileirao Serie A 2015
2015-11-07,34,Corinthians,Coritiba,2,1,Brasileirao Serie A 2015
2015-11-07,34,Fluminense,Chapecoense,2,3,Brasileirao Serie A 2015
2015-11-07,34,Internacional,Ponte Preta,1,0,Brasileirao Serie A 2015
2015-11-08,34,Cruzeiro,Sao Paulo,2,1,Brasileirao Serie A 2015
2015-11-08,34,Figueirense,Atletico-MG,0,1,Brasileirao Serie A 2015
2015-11-08,34,Flamengo,Goias,4,1,Brasileirao Serie A 2015
2015-11-08,34,Joinville,Santos,0,0,Brasileirao Serie A 2015
2015-11-08,34,Palmeiras,Vasco,0,2,Brasileirao Serie A 2015
2015-11-08,34,Sport,Gremio,1,0,Brasileirao Serie A 2015
2015-11-15,35,Cruzeiro,Sport,3,0,Brasileirao Serie A 2015
2015-11-18,35,Athletico-PR,Palmeiras,3,3,Brasileirao Serie A 2015
2015-11-18,35,Avai,Joinville,2,1,Brasileirao Serie A 2015
2015-11-18,35,Goias,Coritiba,1,3,Brasileirao Serie A 2015
2015-11-18,35,Ponte Preta,Figueirense,0,1,Brasileirao Serie A 2015
2015-11-19,35,Chapecoense,Internacional,1,0,Brasileirao Serie A 2015
2015-11-19,35,Gremio,Fluminense,1,0,Brasileirao Serie A 2015
2015-11-19,35,Santos,Flamengo,0,0,Brasileirao Serie A 2015
2015-11-19,35,Sao Paulo,Atletico-MG,4,2,Brasileirao Serie A 2015
2015-11-19,35,Vasco,Corinthians,1,1,Brasileirao Serie A 2015
2015-11-21,36,Palmeiras,Cruzeiro,1,1,Brasileirao Serie A 2015
2015-11-22,36,Atletico-MG,Goias,2,2,Brasileirao Serie A 2015
2015-11-22,36,Corinthians,Sao Paulo,6,1,Brasileirao Serie A 2015
2015-11-22,36,Coritiba,Santos,1,0,Brasileirao Serie A 2015
2015-11-22,36,Figueirense,Chapecoense,0,0,Brasileirao Serie A 2015
2015-11-22,36,Flamengo,Ponte Preta,1,1,Brasileirao Serie A 2015
2015-11-22,36,Fluminense,Avai,3,1,Brasileirao Serie A 2015
